sku,id,discount_price,normal_price
6432,7883624939689,2746,2890
6433,7883597447337,13290,13990
6434,7883596923049,13290,13990
6447,7883597676713,2746,2890
6449,7883609211049,13797,15330
6466,7883611144361,2601,2890
6471,7883610226857,63555,66900
6472,7883619369129,7125,7500
6473,7883610226857,6830,7190
6475,7883608555689,2746,2890
6479,7883597054121,13290,13990
6480,7883602526377,10341,11490
6492,7883608752297,2601,2890
6493,7883597545641,2601,2890
6497,7883610783913,2746,2890
6499,7883596398761,13290,13990
6501,7883597906089,2331,2590
6505,7883621499049,2331,2590
6508,7883621564585,2331,2590
6509,7883621662889,2331,2590
6510,7883621728425,2331,2590
6512,7883621761193,2331,2590
6515,7883592761513,14240,14990
6518,7883593220265,7626,8200
6525,7883608621225,12591,13990
6528,7883608555689,13290,13990
6530,7883624972457,2331,2590
6541,8170065068201,1341,1490
6542,8170065068201,3411,3790
6543,8170065068201,8091,8990
65495,7883625824425,17091,18990
6554,7883594662057,7191,7990
6587,7883594694825,20242,26990
6636,7883597676713,13290,13990
6673,7883592695977,2601,2890
6677,7883596988585,2746,2890
6680,7883597873321,2746,2890
6693,7883597414569,13290,13990
6701,7883601412265,13290,13990
6702,7883596693673,13290,13990
6703,7883596857513,13290,13990
6705,7883597283497,13290,13990
6707,7883597840553,18040,18990
6708,7883608752297,13290,13990
6710,7883601379497,13290,13990
6713,7883609342121,13290,13990
6717,7883593744553,13290,13990
6718,7885992788137,13290,13990
6719,7883609309353,13290,13990
6730,7883609473193,13290,13990
6749,7883610587305,6830,7190
6750,7883610652841,6830,7190
6751,7883610685609,6640,6990
6752,7883610783913,6830,7190
6754,7883611472041,6830,7190
6755,7883611242665,9490,9990
6756,7883624939689,7116,7490
6758,7883599675561,5092,5990
6759,7883599708329,5092,5990
6762,7885987152041,2746,2890
6763,7885987152041,13290,13990
683402,7883617337513,2542,2990
683403,7883617370281,2542,2990
683405,7883617468585,2542,2990
683406,7883617534121,2542,2990
683408,7883620090025,2542,2990
683410,7883618091177,2542,2990
683411,7883618123945,2542,2990
683412,7883618255017,2542,2990
683413,7883617861801,2542,2990
683414,7883618386089,2542,2990
683416,8150319464617,2542,2990
683417,7883613896873,2542,2990
683418,7883619106985,2542,2990
683420,7883619500201,2542,2990
683421,7883621236905,2542,2990
683422,7883621302441,2542,2990
683423,7883622056105,2542,2990
683425,7883622514857,2542,2990
683426,7883623497897,2542,2990
683428,7883625693353,16142,18990
683429,7883625758889,16142,18990
683431,8235279745193,2542,2990
683432,8235328733353,2542,2990
683433,8235518754985,2542,2990
683434,8235632591017,2542,2990
683435,8235642355881,2542,2990
683436,8235669291177,2542,2990
683438,8235798298793,2542,2990
683439,8235834671273,2542,2990
683440,8235849875625,2542,2990
683441,8238545961129,5092,5990
683442,8239636807849,3816,4490
683443,8239711158441,3392,3990
683444,8239772270761,4242,4990
683445,8239788753065,2966,3490
683446,8239816835241,3392,3990
683448,8240669327529,4242,4990
683449,8240675061929,4242,4990
683451,8240704356521,4242,4990
6837,7883614159017,4165,4900
6866,7885993509033,26100,29000
6898,7883611209897,3141,3490
6913,7883597545641,12591,13990
6915,7883600134313,30591,33990
6916,7883600134313,6291,6990
6920,7885990953129,9891,10990
6955,7885987578025,2746,2890
6964,7883599741097,5391,5990
6983,7883600658601,2755,2900
6984,7883600658601,24510,25800
7005,7886015856809,5040,5600
7037,7883598168233,8350,8790
7038,7883598168233,37040,38990
7120,7949396082857,12960,14400
7121,7949458047145,19800,22000
7122,7949458407593,14130,15700
7123,7949457064105,17640,19600
7200,7883616780457,3325,3500
7201,7883616780457,29440,30990
7208,7883620778153,4872,6090
7223,7883627954345,30210,31800
7224,7883616780457,99192,123990
7225,7883594530985,89910,99900
7226,7883594694825,11600,14500
7239,8221659922601,-31410,3490
7402,7883606098089,8075,8500
7403,7883616944297,12255,12900
7404,7883605573801,15105,15900
7405,7883605541033,11875,12500
7406,7883605704873,5690,5990
7407,7883605737641,9025,9500
7408,7883605672105,7790,8200
7409,7883606196393,5225,5500
7410,7883605278889,11875,12500
7411,7883605967017,10925,11500
7412,7883606032553,6640,6990
7413,7883605901481,6460,6800
7414,7883605475497,12255,12900
7415,7883605377193,8455,8900
7416,7883605999785,5880,6190
7417,7883605016745,9310,9800
7418,7883606130857,5225,5500
7419,7883605082281,10925,11500
7421,7883605639337,14155,14900
7422,7883605344425,9405,9900
7423,7883605868713,8826,9290
7424,7883606229161,9310,9800
7425,7883605835945,11875,12500
7426,7883619827881,18525,19500
7427,7883604983977,11960,12590
7428,7883606261929,16625,17500
7429,7883605115049,12540,13200
7430,7883605147817,5988,6303
7431,7883605770409,11895,12521
7432,7883615273129,12825,13500
8002,7883625889961,25260,26590
8005,7885986726057,5211,5790
8007,7883598463145,2241,2490
8011,7883628282025,842,990
8013,7883628347561,1020,1200
8014,7883628380329,1020,1200
8015,7883628413097,1020,1200
8016,7885985743017,3564,4193
8017,7883625791657,1266,1490
8019,7885985808553,3922,4614
8020,7885985906857,4666,5490
8022,7885986005161,2966,3490
8023,7886011793577,4242,4990
8026,7885986070697,2493,2933
8027,7885986103465,2542,2990
8044,7883628150953,1890,1990
8057,7885987184809,1510,1590
8065,7885989544105,3816,4490
8066,7885989576873,3816,4490
8067,7885989642409,3816,4490
8068,7885989675177,4666,5490
8084,7885990887593,7191,7990
8085,7885990887593,17991,19990
8086,7885990887593,56691,62990
8097,7885991215273,4041,4490
8099,7883627888809,4041,4490
8101,7885991248041,3816,4490
